ID,姓名,颜色,领域
8286,李玄霸,绿武,隋朝
8287,杜伏威,蓝武,隋朝
8288,窦建德,蓝武,隋朝
8289,刘黑闼,蓝武,隋朝
8290,李轨,绿武,隋朝
8291,林士弘,绿武,隋朝
8292,宋金刚,蓝武,隋朝
8293,薛仁杲,绿色,隋朝
8294,薛举,绿色,隋朝
8295,单雄信,蓝武,隋朝
8296,杨玄感,绿色,隋朝
8297,翟让,绿文,隋朝
8298,高士达,绿色,隋朝
8299,杨广,绿色,隋朝
8300,何稠,绿色,隋朝
8301,魏刀儿,绿武,隋朝
8302,王世充,蓝武,隋朝
8303,陈月仪,绿文,隋朝
8304,屈突通,绿武,隋朝
8305,段志玄,绿武,隋朝
8306,独孤伽罗,绿文,隋朝
8307,辅公祏,蓝武,隋朝
8308,刘焯,绿色,隋朝
8309,李子通,蓝武！,隋朝
8310,欧阳询,绿文,隋朝
8311,潘师正,绿文,隋朝
8312,萧铣,绿色,隋朝
8313,宇文贵,绿文,隋朝
8314,宇文恺,绿色,隋朝
8315,颜师古,绿色,隋朝
8316,诸葛昂,绿色,隋朝
8317,元乐尚,绿文,隋朝
8318,展子虔,绿文,隋朝
8319,宇文述,绿武,隋朝
8320,智永,绿色,隋朝
8321,朱满月,绿文,隋朝
8322,杨勇,绿武,隋朝
8323,牛弘,绿色,隋朝
8324,王通,绿文,隋朝
8325,苏元朗,绿文,隋朝
8326,虞世基,绿文,隋朝
8327,杨杲,未知,隋朝
8328,杨浩,未知,隋朝
8329,萧瑀,未知,隋朝
8330,高炯,未知,隋朝
8331,裴寂,未知,隋朝
8332,沈法兴,未知,隋朝
8333,徐圆朗,未知,隋朝
8334,隋恭帝,未知,隋朝
8335,杨侗,未知,隋朝
8336,隋炀帝,未知,隋朝
8337,杨昭,未知,隋朝
8338,杨侑,未知,隋朝
8339,杨阿五,未知,隋朝
8340,公孙睿,未知,隋朝
8341,陆睿,未知,隋朝
8342,薛胄,未知,隋朝
8343,薛置,未知,隋朝
8344,裴炯,未知,隋朝
8345,任胄,未知,隋朝
8346,娄睿,未知,隋朝
8347,宇文胄,未知,隋朝
8348,韦夐,未知,隋朝
8349,杨集,未知,隋朝
8350,杨秀,未知,隋朝
8351,杨谅,未知,隋朝
8352,高宾,未知,隋朝
8353,牛方裕,未知,隋朝
8354,李德林,未知,隋朝
8355,梁士彦,未知,隋朝
8356,梁默,未知,隋朝
8357,元谐,未知,隋朝
8358,虞庆则,未知,隋朝
8359,虞孝仁,未知,隋朝
8360,元胄,未知,隋朝
8361,贺娄诠,未知,隋朝
8362,史万岁,未知,隋朝
8363,刘方,未知,隋朝
8364,冯昱,未知,隋朝
8365,王摽,未知,隋朝
8366,杨武通,未知,隋朝
8367,陈永贵,未知,隋朝
8368,房兆,未知,隋朝
8369,杜彦,未知,隋朝
8370,周摇,未知,隋朝
8371,独孤楷,未知,隋朝
8372,独孤盛,未知,隋朝
8373,乞伏慧,未知,隋朝
8374,张威,未知,隋朝
8375,和洪,未知,隋朝
8376,阴寿,未知,隋朝
8377,阴世师,未知,隋朝
8378,阴骨仪,未知,隋朝
8379,杨崇,未知,隋朝
8380,杨义臣,未知,隋朝
8381,刘昉,未知,隋朝
8382,柳裘,未知,隋朝
8383,皇甫绩,未知,隋朝
8384,郭衍,未知,隋朝
8385,杨汪,未知,隋朝
8386,裴蕴,未知,隋朝
8387,袁充,未知,隋朝
8388,赵煚,未知,隋朝
8389,赵芬,未知,隋朝
8390,赵元楷,未知,隋朝
8391,王韶,未知,隋朝
8392,王士隆,未知,隋朝
8393,元岩,未知,隋朝
8394,伊娄谦,未知,隋朝
8395,李圆通,未知,隋朝
8396,李孝常,未知,隋朝
8397,陈茂,未知,隋朝
8398,陈政,未知,隋朝
8399,郭荣,未知,隋朝
8400,庞晃,未知,隋朝
8401,李安,未知,隋朝
8402,李哲,未知,隋朝
8403,杨尚希,未知,隋朝
8404,张煚,未知,隋朝
8405,苏孝慈,未知,隋朝
8406,苏沙罗,未知,隋朝
8407,元寿,未知,隋朝
8408,元敏,未知,隋朝
8409,段文振,未知,隋朝
8410,段文操,未知,隋朝
8411,来整,未知,隋朝
8412,樊子盖,未知,隋朝
8413,周法尚,未知,隋朝
8414,卫玄,未知,隋朝
8415,刘权,未知,隋朝
8416,李景,未知,隋朝
8417,裴政,未知,隋朝
8418,李谔,未知,隋朝
8419,鲍宏,未知,隋朝
8420,高构,未知,隋朝
8421,荣毗,未知,隋朝
8422,荣建绪,未知,隋朝
8423,陆知命,未知,隋朝
8424,梁毗,未知,隋朝
8425,梁敬真,未知,隋朝
8426,柳彧,未知,隋朝
8427,赵绰,未知,隋朝
8428,杜整,未知,隋朝
8429,张定和,未知,隋朝
8430,张奫,未知,隋朝
8431,麦铁杖,未知,隋朝
8432,麦孟才,未知,隋朝
8433,权武,未知,隋朝
8434,王仁恭,未知,隋朝
8435,吐万绪,未知,隋朝
8436,董纯,未知,隋朝
8437,王辩,未知,隋朝
8438,陈棱,未知,隋朝
8439,赵才,未知,隋朝
8440,兰兴洛,未知,隋朝
8441,贺兰蕃,未知,隋朝
8442,云定兴,未知,隋朝
8443,裴虔通,未知,隋朝
8444,段达,未知,隋朝
8445,王胄,未知,隋朝
8446,张胄玄,未知,隋朝
8447,慕容俊,未知,隋朝
8448,拓跋圭,未知,隋朝
8449,拓跋黎,未知,隋朝
8450,杨整,未知,隋朝
8451,杨瓒,未知,隋朝
8452,杨嵩,未知,隋朝
8453,杨爽,未知,隋朝
8454,杨弘,未知,隋朝
8455,杨处纲,未知,隋朝
8456,杨子崇,未知,隋朝
8457,杨暕,未知,隋朝
8458,达奚长儒,未知,隋朝
8459,贺娄子干,未知,隋朝
8460,斛斯万善,未知,隋朝
8461,司马德戡,未知,隋朝
8462,萧后,蓝文,隋朝
8463,萧美娘,绿文,隋朝
8464,隋文献独狐皇后,绿文,隋朝
8465,炀帝萧皇后,绿文,隋朝
8466,安成长公主,绿文,隋朝
8467,广平公主,绿文,隋朝
8468,襄国公主,绿文,隋朝
8469,南阳公主,绿文,隋朝
8470,侯夫人,未知,隋朝
8471,李元霸,紫武,隋唐英雄
8472,宇文成都,蓝武,隋唐英雄
8473,裴元庆,蓝武,隋唐英雄
8474,雄阔海,绿武,隋唐英雄
8475,伍天锡,蓝武,隋唐英雄
8476,伍云召,绿色,隋唐英雄
8477,罗成,绿武,隋唐英雄
8478,秦叔宝,紫色,隋唐英雄
8479,罗士信,绿武,隋唐英雄
8480,徐世绩,绿武,隋唐英雄
8481,罗松,绿色,隋唐英雄
8482,魏征,蓝武,隋唐英雄
8483,薛仁贵,蓝武,隋唐英雄
8484,薛丁山,绿色,隋唐英雄
8485,魏文通,绿色,隋唐英雄
8486,杨林,绿色,隋唐英雄
8487,秦用,绿色,隋唐英雄
8488,呼罗国王,绿武,隋唐英雄
8489,尚师徒,蓝武,隋唐英雄
8490,苏定芳,绿武,隋唐英雄
8491,王伯当,绿色,隋唐英雄
8492,王君可,绿色,隋唐英雄
8493,新文礼,绿色,隋唐英雄
8494,定彦平,绿色,隋唐英雄
8495,左天成,绿色,隋唐英雄
8496,来护儿,绿武,隋唐英雄
8497,东方玉梅,绿文,隋唐英雄
8498,梁师泰,绿武,隋唐英雄
8499,伍建章,绿武,隋唐英雄
8500,高颖,绿色,隋唐英雄
8501,鱼俱罗,绿武,隋唐英雄
8502,韩擒虎,绿色,隋唐英雄
8503,罗艺,绿武,隋唐英雄
8504,侯君集,绿武,隋唐英雄
8505,李建成,绿武,隋唐英雄
8506,李元吉,绿色,隋唐英雄
8507,李靖,绿色,隋唐英雄
8508,虬髯客,紫武,隋唐英雄
8509,红拂女,蓝武,隋唐英雄
8510,樊梨花,绿武,隋唐英雄
8511,苏宝童,绿武,隋唐英雄
8512,杨成,绿武,隋唐英雄
8513,邱瑞,绿武,隋唐英雄
8514,史万宝,绿武,隋唐英雄
8515,杨芳,绿色,隋唐英雄
8516,长孙晟,绿武,隋唐英雄
8517,朗司马,绿武,隋唐英雄
8518,盖世雄,绿武,隋唐英雄
8519,刘武周,绿色,隋唐英雄
8520,谢映登,绿武,隋唐英雄
8521,史大奈,绿色,隋唐英雄
8522,罗方,绿色,隋唐英雄
8523,薛亮,绿色,隋唐英雄
8524,柴绍,绿色,隋唐英雄
8525,梁师都,绿色,隋唐英雄
8526,宇文成龙,绿色,隋唐英雄
8527,宇文智及,绿色,隋唐英雄
8528,裴仁基,绿色,隋唐英雄
8529,唐壁,绿武,隋唐英雄
8530,伍魁,绿武,隋唐英雄
8531,伍亮,绿色,隋唐英雄
8532,李浑,绿色,隋唐英雄
8533,张公瑾,绿武,隋唐英雄
8534,来护尔,绿武,隋唐英雄
8535,白夫人,绿色,隋唐英雄
8536,黑夫人,绿武,隋唐英雄
8537,李道宗,绿色,隋唐英雄
8538,张红拂,未知,隋唐英雄
8539,红拂,未知,隋唐英雄
8540,周眆,绿文,唐朝
8541,长林公主,未知,唐朝
8542,唐宋八大家,未知,唐朝
8543,秦琼,蓝武,唐朝
8544,怀素,绿文,唐朝
8545,公孙大娘,绿文,唐朝
8546,吕洞宾,蓝武,唐朝
8547,孙思邈,紫文!,唐朝
8548,吴道子,蓝文,唐朝
8549,杨玉环,紫色,唐朝
8550,张旭,蓝文,唐朝
8551,张果,蓝文,唐朝
8552,崔颢,绿文,唐朝
8553,胡令能,绿文,唐朝
8554,高适,绿色,唐朝
8555,韩幌,绿色,唐朝
8556,贾岛,绿文,唐朝
8557,卢照邻,绿色,唐朝
8558,李含光,绿武,唐朝
8559,李思训,绿文,唐朝
8560,啊史那贺鲁,绿色,唐朝
8561,白鹿禅师,绿文,唐朝
8562,辩机,绿文,唐朝
8563,崔珏,绿文,唐朝
8564,陈闳,绿文,唐朝
8565,杜佑,绿色,唐朝
8566,格辅元,绿色,唐朝
8567,怀素律师,绿色,唐朝
8568,慧超,绿文,唐朝
8569,黄巢,绿武,唐朝
8570,孔颖达,绿文,唐朝
8571,李观,绿色,唐朝
8572,临水夫人,绿武,唐朝
8573,陆羽,绿文,唐朝
8574,马道一,绿色,唐朝
8575,王绩,绿文,唐朝
8576,王焘,绿文,唐朝
8577,王勃,绿文,唐朝
8578,徐浩,绿色,唐朝
8579,玄奘,蓝文,唐朝
8580,薛涛,绿色,唐朝
8581,元稹,绿文,唐朝
8582,临济义玄,绿色,唐朝
8583,南岳怀让,绿文,唐朝
8584,南霁云,绿武,唐朝
8585,娄师德,蓝武,唐朝
8586,惠能,绿文,唐朝
8587,薛稷,绿色,唐朝
8588,史思明,蓝武,唐朝
8589,李翱,绿色,唐朝
8590,刘禹锡,绿文,唐朝
8591,杜秋娘,绿文,唐朝
8592,杜光庭,绿色,唐朝
8593,韩干,绿文,唐朝
8594,吕用之,绿色,唐朝
8595,李端,绿色,唐朝
8596,令狐德棻,绿色,唐朝
8597,令狐楚,绿色,唐朝
8598,刘蕡,绿色,唐朝
8599,刘知几,绿文,唐朝
8600,卢仝,绿色,唐朝
8601,李锜,绿文,唐朝
8602,徐坚,绿色,唐朝
8603,阎立本,绿色,唐朝
8604,义净,绿文,唐朝
8605,张说,绿色,唐朝
8606,张若虚,绿色,唐朝
8607,张萱,绿色,唐朝
8608,成玄英,绿色,唐朝
8609,渊男建,绿武,唐朝
8610,渊男生,绿武,唐朝
8611,渊盖苏文,绿色,唐朝
8612,薛世雄,绿色,唐朝
8613,贺兰敏之,绿武,唐朝
8614,不空,绿文,唐朝
8615,崔护,绿色,唐朝
8616,杜环,绿色,唐朝
8617,道宣,绿文,唐朝
8618,冯伉,绿文,唐朝
8619,顾况,绿色,唐朝
8620,韩翃,绿色,唐朝
8621,李峤,绿色,唐朝
8622,卢彦卿,绿色,唐朝
8623,李肇,绿色,唐朝
8624,刘希夷,绿文,唐朝
8625,刘长卿,绿色,唐朝
8626,李大师,绿文,唐朝
8627,李百药,绿文,唐朝
8628,李筌,绿文,唐朝
8629,罗昌儒,绿色,唐朝
8630,孟棨,绿色,唐朝
8631,金刚智,绿文,唐朝
8632,无能子,绿色,唐朝
8633,王玄览,绿文,唐朝
8634,武士彟,绿色,唐朝
8635,黄檗希运,绿色,唐朝
8636,颜勤礼,绿文,唐朝
8637,僧一行,绿色,唐朝
8638,颜元孙,绿文,唐朝
8639,叶法善,绿文,唐朝
8640,杨行密,绿色,唐朝
8641,朱温,绿文,唐朝
8642,张嘉贞,绿文,唐朝
8643,张九龄,绿文,唐朝
8644,云岩昙晟,绿文,唐朝
8645,储光羲,绿色,唐朝
8646,安庆绪,绿文,唐朝
8647,寒山,绿文,唐朝
8648,杨氏,绿文,唐朝
8649,百丈怀海,绿文,唐朝
8650,石头希迁,绿文,唐朝
8651,窥基法师,绿色,唐朝
8652,药山惟俨,绿色,唐朝
8653,贺兰越石,绿文,唐朝
8654,阁罗凤,绿色,唐朝
8655,青原行思,绿文,唐朝
8656,韩国夫人,绿文,唐朝
8657,李阳冰,绿文,唐朝
8658,李颀,绿色,唐朝
8659,李延寿,绿文,唐朝
8660,李昭道,绿文,唐朝
8661,李邕,绿文,唐朝
8662,李神通,绿文,唐朝
8663,怯阳照,绿色,唐朝
8664,千傍,绿色,唐朝
8665,善无畏,绿色,唐朝
8666,施望欠,绿色,唐朝
8667,施望千,绿文,唐朝
8668,司马承祯,绿色,唐朝
8669,司空曙,绿色,唐朝
8670,沈佺期,绿文,唐朝
8671,望偏,绿文,唐朝
8672,王定保,绿文,唐朝
8673,王仙芝,绿文,唐朝
8674,姚思廉,绿文,唐朝
8675,张议潮,绿色,唐朝
8676,周昉,绿色,唐朝
8677,丰咩,绿色,唐朝
8678,丰时,绿文,唐朝
8679,于赠,绿色,唐朝
8680,俟罗君,绿文,唐朝
8681,偏罗俟,绿色,唐朝
8682,傍罗颠,绿文,唐朝
8683,原罗,绿文,唐朝
8684,咩罗皮,绿文,唐朝
8685,波衡,绿色,唐朝
8686,照罗,绿文,唐朝
8687,皮罗邆,绿文,唐朝
8688,秦宗权,绿色,唐朝
8689,罗铎,绿色,唐朝
8690,裴铏,绿色,唐朝
8691,邆罗颠,绿文,唐朝
8692,铎罗望,绿色,唐朝
8693,雟辅首,绿色,唐朝
8694,颠之托,绿文,唐朝
8695,成辅端,未知,唐朝
8696,李悟,未知,唐朝
8697,李荃,未知,唐朝
8698,一行,未知,唐朝
8699,张公谨,未知,唐朝
8700,弘忍,未知,唐朝
8701,慧能,未知,唐朝
8702,房玄龄,未知,唐朝
8703,智升,未知,唐朝
8704,李佑,未知,唐朝
8705,杨士勋,未知,唐朝
8706,温李,未知,唐朝
8707,神会,未知,唐朝
8708,许敬宗,未知,唐朝
8709,赵蕤,未知,唐朝
8710,高士廉,未知,唐朝
8711,初唐四家,未知,唐朝
8712,饮中八仙,未知,唐朝
8713,阿史那贺鲁,未知,唐朝
8714,李杜,未知,唐朝
8715,马祖道一,未知,唐朝
8716,王焘(唐),未知,唐朝
8717,上官仪,未知,唐朝
8718,严绶,未知,唐朝
8719,令狐绹,未知,唐朝
8720,刘十善,未知,唐朝
8721,刘政会,未知,唐朝
8722,崔续,未知,唐朝
8723,拾得,未知,唐朝
8724,李元景,未知,唐朝
8725,李光弼,未知,唐朝
8726,李吉甫,未知,唐朝
8727,李裕,未知,唐朝
8728,李重俊,未知,唐朝
8729,李续,未知,唐朝
8730,杨国忠,未知,唐朝
8731,王茂元,未知,唐朝
8732,裴耀卿,未知,唐朝
8733,安定公主,未知,唐朝
8734,怀仁可汗,未知,唐朝
8735,李熙(唐),未知,唐朝
8736,窦臮,未知,唐朝
8737,窦蒙,未知,唐朝
8738,吕向,未知,唐朝
8739,张怀瓘,未知,唐朝
8740,高仲武,未知,唐朝
8741,皇甫湜,未知,唐朝
8742,柳璨,未知,唐朝
8743,陆龟蒙,未知,唐朝
8744,皮日休,未知,唐朝
8745,钱起,未知,唐朝
8746,苏味道,未知,唐朝
8747,薛能,未知,唐朝
8748,徐彦伯,未知,唐朝
8749,鱼玄机,未知,唐朝
8750,虞世南,未知,唐朝
8751,赵玄默,未知,唐朝
8752,张为,未知,唐朝
8753,张籍,未知,唐朝
8754,初唐四杰,未知,唐朝
8755,大历十才子,未知,唐朝
8756,三苏,未知,唐朝
8757,苏续,未知,唐朝
8758,黄峭山,未知,唐朝
8759,李绅,未知,唐朝
8760,罗虬,未知,唐朝
8761,罗邺,未知,唐朝
8762,李德裕,未知,唐朝
8763,王贞白崔融,未知,唐朝
8764,上官婉儿,未知,唐朝
8765,张继,未知,唐朝
8766,耿讳,未知,唐朝
8767,吉中孚,未知,唐朝
8768,苗发,未知,唐朝
8769,夏侯审,未知,唐朝
8770,崔洞,未知,唐朝
8771,双忠,未知,唐朝
8772,毕师铎,未知,唐朝
8773,陈玄礼,未知,唐朝
8774,程咬金,绿武,唐朝
8775,陈元光,未知,唐朝
8776,董昌,未知,唐朝
8777,封常清,未知,唐朝
8778,高骈,未知,唐朝
8779,郭元振,未知,唐朝
8780,哥舒翰,未知,唐朝
8781,郭子仪,未知,唐朝
8782,高邈,未知,唐朝
8783,高仙芝,未知,唐朝
8784,刘弘基,未知,唐朝
8785,李可举,未知,唐朝
8786,刘文静,未知,唐朝
8787,刘仁轨,未知,唐朝
8788,李抱真,未知,唐朝
8789,李钦凑,未知,唐朝
8790,李嗣业,未知,唐朝
8791,唐太宗,未知,唐朝
8792,李晟,未知,唐朝
8793,李愬,未知,唐朝
8794,孟楷,未知,唐朝
8795,庞勋,未知,唐朝
8796,庞师古,未知,唐朝
8797,裴度,未知,唐朝
8798,裴行俭,未知,唐朝
8799,史朝义,未知,唐朝
8800,孙儒,未知,唐朝
8801,尚君长,未知,唐朝
8802,尚让,未知,唐朝
8803,苏定方,未知,唐朝
8804,王重霸,未知,唐朝
8805,武元爽,未知,唐朝
8806,许远,未知,唐朝
8807,徐敬业,未知,唐朝
8808,杨复光,未知,唐朝
8809,颜真卿,未知,唐朝
8810,张璘,未知,唐朝
8811,任瑰,未知,唐朝
8812,张巡,未知,唐朝
8813,朱泚,未知,唐朝
8814,阿史那社尔,未知,唐朝
8815,李谠,未知,唐朝
8816,仆固怀恩,未知,唐朝
8817,契苾何力,未知,唐朝
8818,朱邪赤心,未知,唐朝
8819,长孙顺德,未知,唐朝
8820,安禄山,未知,唐朝
8821,李怀仙,未知,唐朝
8822,时溥,未知,唐朝
8823,吴元济,未知,唐朝
8824,朱希彩,未知,唐朝
8825,朱滔,未知,唐朝
8826,李宝臣,未知,唐朝
8827,朱瑾,未知,唐朝
8828,崔龟从,未知,唐朝
8829,李安期,未知,唐朝
8830,韦述,未知,唐朝
8831,姚康,未知,唐朝
8832,陈岳,未知,唐朝
8833,许嵩,未知,唐朝
8834,李智云,未知,唐朝
8835,李重润,未知,唐朝
8836,李上金,未知,唐朝
8837,李元婴,未知,唐朝
8838,李守礼,未知,唐朝
8839,李弘,未知,唐朝
8840,李承干,未知,唐朝
8841,李熅,未知,唐朝
8842,李素节,未知,唐朝
8843,安续,未知,唐朝
8844,李仙蕙,未知,唐朝
8845,李明达,未知,唐朝
8846,同昌公主,未知,唐朝
8847,文成公主,未知,唐朝
8848,金城公主,未知,唐朝
8849,高阳公主,未知,唐朝
8850,武惠妃,未知,唐朝
8851,徐惠,未知,唐朝
8852,萧淑妃,未知,唐朝
8853,武则天,未知,唐朝
8854,韦皇后,未知,唐朝
8855,长孙皇后,未知,唐朝
8856,李重茂,未知,唐朝
8857,唐中宗,未知,唐朝
8858,唐代宗,未知,唐朝
8859,唐僖宗,未知,唐朝
8860,唐哀帝,未知,唐朝
8861,唐续,未知,唐朝
8862,唐宣宗,未知,唐朝
8863,唐宪宗,未知,唐朝
8864,唐德宗,未知,唐朝
8865,唐懿宗,未知,唐朝
8866,唐敬宗,未知,唐朝
8867,唐文宗,未知,唐朝
8868,唐昭宗,未知,唐朝
8869,唐武宗,未知,唐朝
8870,唐睿宗,未知,唐朝
8871,唐穆宗,未知,唐朝
8872,唐肃宗,未知,唐朝
8873,唐顺宗,未知,唐朝
8874,唐高宗,未知,唐朝
8875,皋陶,未知,唐朝
8876,李敬,未知,唐朝
8877,李耳,未知,唐朝
8878,李世民,未知,唐朝
8879,李治,未知,唐朝
8880,李显,未知,唐朝
8881,李旦,未知,唐朝
8882,姬昌,未知,唐朝
8883,姬武,未知,唐朝
8884,武克已,未知,唐朝
8885,武居常,未知,唐朝
8886,武俭,未知,唐朝
8887,武华,未知,唐朝
8888,武士彠,绿文,唐朝
8889,武曌,未知,唐朝
8890,李隆基,未知,唐朝
8891,李琮,未知,唐朝
8892,李亨,未知,唐朝
8893,李倓,未知,唐朝
8894,李豫,未知,唐朝
8895,李承宏,未知,唐朝
8896,李适,未知,唐朝
8897,李诵,未知,唐朝
8898,李纯,未知,唐朝
8899,李昂,未知,唐朝
8900,李炎,未知,唐朝
8901,李忱,未知,唐朝
8902,李漼,未知,唐朝
8903,李儇,未知,唐朝
8904,李晔,未知,唐朝
8905,李柷,未知,唐朝
8906,王武俊,未知,唐朝
8907,王镕,未知,唐朝
8908,张文礼,未知,唐朝
8909,张处谨,未知,唐朝
8910,田悦,未知,唐朝
8911,李纳,未知,唐朝
8912,李希烈,未知,唐朝
8913,王处直,未知,唐朝
8914,王都,未知,唐朝
8915,姓名,未知,唐朝
8916,阚爽,未知,唐朝
8917,阚伯周,未知,唐朝
8918,阚义成,未知,唐朝
8919,阚首归,未知,唐朝
8920,张孟明,未知,唐朝
8921,马儒,未知,唐朝
8922,曲嘉,未知,唐朝
8923,曲光,未知,唐朝
8924,曲坚,未知,唐朝
8925,曲玄喜,未知,唐朝
8926,曲口,未知,唐朝
8927,曲宝茂,未知,唐朝
8928,曲干固,未知,唐朝
8929,曲伯雅,未知,唐朝
8930,曲文泰,未知,唐朝
8931,曲智盛,未知,唐朝
8932,胡独鹿,未知,唐朝
8933,桃李花,未知,唐朝
8934,突地稽,未知,唐朝
8935,李谨行,未知,唐朝
8936,大祚荣,未知,唐朝
8937,大武艺,未知,唐朝
8938,大钦茂,未知,唐朝
8939,大元义,未知,唐朝
8940,大华屿,未知,唐朝
8941,大嵩璘,未知,唐朝
8942,大元瑜,未知,唐朝
8943,大言义,未知,唐朝
8944,大明忠,未知,唐朝
8945,大仁秀,未知,唐朝
8946,大彝震,未知,唐朝
8947,大虔晃,未知,唐朝
8948,大玄锡,未知,唐朝
8949,大玮瑎,未知,唐朝
8950,大諲撰,未知,唐朝
8951,大光显,未知,唐朝
8952,烈万华,未知,唐朝
8953,乌玄明,未知,唐朝
8954,大元,未知,唐朝
8955,大延琳,未知,唐朝
8956,黑水兀儿,未知,唐朝
8957,乞四比羽,未知,唐朝
8958,乞乞仲象,未知,唐朝
8959,张果老,未知,唐朝
8960,施肩吾,紫文,唐朝
8961,神秀,未知,唐朝
8962,边令诚,未知,唐朝
8963,仇士良,未知,唐朝
8964,程元振,未知,唐朝
8965,高力士,未知,唐朝
8966,韩全诲,未知,唐朝
8967,韩文约,未知,唐朝
8968,俱文珍,未知,唐朝
8969,骆奉先,未知,唐朝
8970,刘行深,未知,唐朝
8971,李辅国,未知,唐朝
8972,田令孜,未知,唐朝
8973,鱼朝恩,未知,唐朝
8974,崔行功,未知,唐朝
8975,齐浣,未知,唐朝
8976,崔玄暐,未知,唐朝
8977,褚遂良,未知,唐朝
8978,窦参,未知,唐朝
8979,杜如晦,未知,唐朝
8980,段文昌,未知,唐朝
8981,狄仁杰,未知,唐朝
8982,盖文达,未知,唐朝
8983,侯行果,未知,唐朝
8984,韩滉,未知,唐朝
8985,桓彦范,未知,唐朝
8986,韩湘子,未知,唐朝
8987,来俊臣,未知,唐朝
8988,李守素,未知,唐朝
8989,李淳风,未知,唐朝
8990,刘洎,未知,唐朝
8991,李景俭,未知,唐朝
8992,陆贽,未知,唐朝
8993,李孝恭,未知,唐朝
8994,卢携,未知,唐朝
8995,李玄道,未知,唐朝
8996,李渤,未知,唐朝
8997,李训,未知,唐朝
8998,李义府,未知,唐朝
8999,李敬玄,未知,唐朝
9000,李林甫,未知,唐朝
9001,李宗闵,未知,唐朝
9002,柳公权,未知,唐朝
9003,牛僧孺,未知,唐朝
9004,裴延龄,未知,唐朝
9005,孙季良,未知,唐朝
9006,宋璟,未知,唐朝
9007,苏勖,未知,唐朝
9008,唐临,未知,唐朝
9009,王叔文,未知,唐朝
9010,武承嗣,未知,唐朝
9011,韦执谊,未知,唐朝
9012,武三思,未知,唐朝
9013,王仁裕,未知,唐朝
9014,王潮,未知,唐朝
9015,渊男产,未知,唐朝
9016,颜杲卿,未知,唐朝
9017,袁恕己,未知,唐朝
9018,杨炎,未知,唐朝
9019,元澹,未知,唐朝
9020,颜荛,未知,唐朝
9021,元载,未知,唐朝
9022,姚崇,未知,唐朝
9023,褚亮,未知,唐朝
9024,张易之,未知,唐朝
9025,赵冬曦,未知,唐朝
9026,郑注,未知,唐朝
9027,张柬之,未知,唐朝
9028,郑畋,未知,唐朝
9029,阿倍仲麻吕,未知,唐朝
9030,李实,未知,唐朝
9031,阳城,未知,唐朝
9032,长孙无忌,未知,唐朝
9033,董萼,未知,唐朝
9034,王行瑜,未知,唐朝
9035,刘季述,未知,唐朝
9036,崔胤,未知,唐朝
9037,张文蔚,未知,唐朝
9038,杨涉,未知,唐朝
9039,张策,未知,唐朝
9040,赵光逢,未知,唐朝
9041,薛贻矩,未知,唐朝
9042,苏循,未知,唐朝
9043,苏楷,未知,唐朝
9044,杜晓,未知,唐朝
9045,朱友谅,未知,唐朝
9046,朱友能,未知,唐朝
9047,朱友诲,未知,唐朝
9048,朱友宁,未知,唐朝
9049,朱友伦,未知,唐朝
9050,敬翔,未知,唐朝
9051,朱珍,未知,唐朝
9052,李唐宾,未知,唐朝
9053,葛从周,未知,唐朝
9054,霍存,未知,唐朝
9055,张存敬,未知,唐朝
9056,符道昭,未知,唐朝
9057,刘捍,未知,唐朝
9058,寇彦卿,未知,唐朝
9059,康怀英,未知,唐朝
9060,刘鄩,未知,唐朝
9061,牛存节,未知,唐朝
9062,张归霸,未知,唐朝
9063,张归厚,未知,唐朝
9064,张归弁,未知,唐朝
9065,王重师,未知,唐朝
9066,徐怀玉,未知,唐朝
9067,杨师厚,未知,唐朝
9068,王景仁,未知,唐朝
9069,贺瑰,未知,唐朝
9070,王檀,未知,唐朝
9071,马嗣勋,未知,唐朝
9072,王虔裕,未知,唐朝
9073,谢彦章,未知,唐朝
9074,朱瑄,未知,唐朝
9075,王师范,未知,唐朝
9076,刘知俊,未知,唐朝
9077,杨崇本,未知,唐朝
9078,蒋殷,未知,唐朝
9079,张万进,未知,唐朝
9080,罗绍威,未知,唐朝
9081,赵犨,未知,唐朝
9082,王珂,未知,唐朝
9083,韩建,未知,唐朝
9084,李罕之,未知,唐朝
9085,冯行袭,未知,唐朝
9086,孙德昭,未知,唐朝
9087,赵克裕,未知,唐朝
9088,张慎思,未知,唐朝
9089,胡真,未知,唐朝
9090,成汭,未知,唐朝
9091,杜洪,未知,唐朝
9092,钟传,未知,唐朝
9093,田頵,未知,唐朝
9094,朱延寿,未知,唐朝
9095,赵匡凝,未知,唐朝
9096,张佶,未知,唐朝
9097,雷满,未知,唐朝
9098,李振,未知,唐朝
9099,氏叔琮,未知,唐朝
9100,朱友恭,未知,唐朝
9101,李思安,未知,唐朝
9102,邓季筠,未知,唐朝
9103,黄文靖,未知,唐朝
9104,胡规,未知,唐朝
9105,李重胤,未知,唐朝
9106,范居实,未知,唐朝
9107,谢瞳,未知,唐朝
9108,王敬荛,未知,唐朝
9109,高劭,未知,唐朝
9110,郭言,未知,唐朝
9111,刘康乂,未知,唐朝
9112,王彦章,未知,唐朝
9113,贺德伦,未知,唐朝
9114,李珽,未知,唐朝
9115,卢曾,未知,唐朝
9116,孙骘,未知,唐朝
